2014-02-04T13:08:53 - BCI2000 Started
2014-02-04T13:08:54 - Waiting for configuration ...
2014-02-04T13:08:54 - Warning: CyberGloveLogger::Publish:  No cyberglove detected.
2014-02-04T13:08:54 - Waiting for configuration ...
2014-02-04T13:08:54 - Waiting for configuration ...
2014-02-04T13:09:11 - Operator set configuration
2014-02-04T13:09:11 - SignalSource confirmed new parameters ...
2014-02-04T13:09:11 - SignalProcessing confirmed new parameters ...
2014-02-04T13:09:11 - Application confirmed new parameters ...
2014-02-04T13:09:12 - Operator started operation
2014-02-04T13:09:13 - Warning: CursorFeedbackTask::Process: process: 249.218 47.4521.
2014-02-04T13:09:13 - Warning: CursorFeedbackTask::Process: process: 393.445 42.909.
2014-02-04T13:09:13 - Warning: CursorFeedbackTask::Process: process: 530.284 38.9404.
2014-02-04T13:09:13 - Warning: CursorFeedbackTask::Process: process: 611.463 11.6737.
2014-02-04T13:09:13 - Warning: CursorFeedbackTask::Process: process: 181.831 9.75946.
2014-02-04T13:09:13 - Warning: CursorFeedbackTask::Process: process: 603.275 9.7599.
2014-02-04T13:09:13 - Warning: CursorFeedbackTask::Process: process: 152.979 9.16308.
2014-02-04T13:09:13 - Warning: CursorFeedbackTask::Process: process: 559.04 7.88503.
2014-02-04T13:09:14 - Warning: CursorFeedbackTask::Process: process: 174.799 10.6108.
2014-02-04T13:09:14 - Warning: CursorFeedbackTask::Process: process: 612.82 12.6154.
2014-02-04T13:09:14 - Warning: CursorFeedbackTask::Process: process: 253.277 15.1036.
2014-02-04T13:09:14 - Warning: CursorFeedbackTask::Process: process: 267.879 15.7091.
2014-02-04T13:09:14 - Warning: CursorFeedbackTask::Process: process: 297.014 15.1054.
2014-02-04T13:09:14 - Warning: CursorFeedbackTask::Process: process: 233.581 13.5896.
2014-02-04T13:09:14 - Warning: CursorFeedbackTask::Process: process: 225.887 13.6418.
2014-02-04T13:09:14 - Warning: CursorFeedbackTask::Process: process: 1431.62 16.7186.
2014-02-04T13:09:15 - Warning: CursorFeedbackTask::Process: process: 216.981 12.936.
2014-02-04T13:09:15 - Warning: CursorFeedbackTask::Process: process: 994.126 18.7718.
2014-02-04T13:09:15 - Warning: CursorFeedbackTask::Process: process: 239.606 15.3692.
2014-02-04T13:09:15 - Warning: CursorFeedbackTask::Process: process: 434.628 13.5332.
2014-02-04T13:09:15 - Warning: CursorFeedbackTask::Process: process: 302.102 14.925.
2014-02-04T13:09:15 - Warning: CursorFeedbackTask::Process: process: 356.068 11.4535.
2014-02-04T13:09:15 - Warning: CursorFeedbackTask::Process: process: 251.646 12.9485.
2014-02-04T13:09:15 - Warning: CursorFeedbackTask::Process: process: 327.919 13.3193.
2014-02-04T13:09:16 - Warning: CursorFeedbackTask::Process: process: 227.318 13.2569.
2014-02-04T13:09:16 - Warning: CursorFeedbackTask::Process: process: 728.448 18.1239.
2014-02-04T13:09:16 - Warning: CursorFeedbackTask::Process: process: 249.153 14.7.
2014-02-04T13:09:16 - Warning: CursorFeedbackTask::Process: process: 1872.78 13.4364.
2014-02-04T13:09:16 - Warning: CursorFeedbackTask::Process: process: 240.717 15.1175.
2014-02-04T13:09:16 - Warning: CursorFeedbackTask::Process: process: 494.002 12.7283.
2014-02-04T13:09:16 - Warning: CursorFeedbackTask::Process: process: 245.568 13.5903.
2014-02-04T13:09:16 - Warning: CursorFeedbackTask::Process: process: 229.514 12.6157.
2014-02-04T13:09:17 - Warning: CursorFeedbackTask::Process: process: 259.951 12.3063.
2014-02-04T13:09:17 - Warning: CursorFeedbackTask::Process: process: 288.648 13.767.
2014-02-04T13:09:17 - Warning: CursorFeedbackTask::Process: process: 227.848 12.6253.
2014-02-04T13:09:17 - Warning: CursorFeedbackTask::Process: process: 237.408 13.2915.
2014-02-04T13:09:17 - Warning: CursorFeedbackTask::Process: process: 193.454 12.0391.
2014-02-04T13:09:17 - Warning: CursorFeedbackTask::Process: process: 176.352 10.6794.
2014-02-04T13:09:17 - Warning: CursorFeedbackTask::Process: process: 246.625 14.77.
2014-02-04T13:09:17 - Warning: CursorFeedbackTask::Process: process: 284.438 16.3264.
