X,CH1,CH2,
Second,Volt,Volt,
-4.02400e-01,-8.40e-02,-1.40e-01,
-4.02300e-01,-9.20e-02,-1.00e-01,
-4.02200e-01,-9.20e-02,-2.00e-02,
-4.02100e-01,-9.20e-02,-1.60e-01,
-4.02000e-01,-1.00e-01,7.99e-02,
-4.01900e-01,-8.79e-02,-2.00e-01,
-4.01800e-01,-1.00e-01,1.20e-01,
-4.01700e-01,-9.60e-02,-2.20e-01,
-4.01600e-01,-8.40e-02,7.99e-02,
-4.01500e-01,-1.08e-01,-2.00e-01,
-4.01400e-01,-8.40e-02,2.00e-02,
-4.01300e-01,-1.00e-01,-1.40e-01,
-4.01200e-01,-9.20e-02,-6.00e-02,
-4.01100e-01,-1.00e-01,-2.00e-02,
-4.01000e-01,-1.00e-01,-1.20e-01,
-4.00900e-01,-1.00e-01,0.00e+00,
-4.00800e-01,-1.04e-01,-2.00e-01,
-4.00700e-01,-9.20e-02,0.00e+00,
-4.00600e-01,-1.12e-01,-1.80e-01,
-4.00500e-01,-1.08e-01,0.00e+00,
-4.00400e-01,-1.16e-01,-1.20e-01,
-4.00300e-01,-1.16e-01,2.00e-02,
-4.00200e-01,-1.16e-01,-1.20e-01,
-4.00100e-01,-1.16e-01,2.00e-02,
-4.00000e-01,-1.16e-01,-1.20e-01,
-3.99900e-01,-1.16e-01,-2.00e-02,
-3.99800e-01,-1.24e-01,-7.99e-02,
-3.99700e-01,-1.20e-01,-2.00e-02,
-3.99600e-01,-1.20e-01,-7.99e-02,
-3.99500e-01,-1.24e-01,-1.00e-01,
-3.99400e-01,-1.24e-01,-7.99e-02,
-3.99300e-01,-1.16e-01,-1.20e-01,
-3.99200e-01,-1.28e-01,-7.99e-02,
-3.99100e-01,-1.24e-01,-1.40e-01,
-3.99000e-01,-1.36e-01,-2.00e-02,
-3.98900e-01,-1.36e-01,-1.60e-01,
-3.98800e-01,-1.36e-01,-2.00e-02,
-3.98700e-01,-1.40e-01,-1.60e-01,
-3.98600e-01,-1.40e-01,-6.00e-02,
-3.98500e-01,-1.52e-01,-1.20e-01,
-3.98400e-01,-1.40e-01,-6.00e-02,
-3.98300e-01,-1.56e-01,-6.00e-02,
-3.98200e-01,-1.44e-01,-6.00e-02,
-3.98100e-01,-1.48e-01,-6.00e-02,
-3.98000e-01,-1.44e-01,-1.00e-01,
-3.97900e-01,-1.48e-01,-2.00e-02,
-3.97800e-01,-1.52e-01,-1.00e-01,
-3.97700e-01,-1.56e-01,-2.00e-02,
-3.97600e-01,-1.48e-01,-1.00e-01,
-3.97500e-01,-1.52e-01,-2.00e-02,
-3.97400e-01,-1.48e-01,-7.99e-02,
-3.97300e-01,-1.48e-01,-2.00e-02,
-3.97200e-01,-1.56e-01,-7.99e-02,
-3.97100e-01,-1.48e-01,-7.99e-02,
-3.97000e-01,-1.64e-01,-6.00e-02,
-3.96900e-01,-1.48e-01,-7.99e-02,
-3.96800e-01,-1.64e-01,-7.99e-02,
-3.96700e-01,-1.44e-01,-1.00e-01,
-3.96600e-01,-1.64e-01,-7.99e-02,
-3.96500e-01,-1.52e-01,-7.99e-02,
-3.96400e-01,-1.64e-01,-7.99e-02,
-3.96300e-01,-1.64e-01,-2.00e-02,
-3.96200e-01,-1.76e-01,-6.00e-02,
-3.96100e-01,-1.64e-01,-2.00e-02,
-3.96000e-01,-1.64e-01,-7.99e-02,
-3.95900e-01,-1.72e-01,0.00e+00,
-3.95800e-01,-1.56e-01,-7.99e-02,
-3.95700e-01,-1.80e-01,0.00e+00,
-3.95600e-01,-1.60e-01,-1.00e-01,
-3.95500e-01,-1.80e-01,-7.99e-02,
-3.95400e-01,-1.64e-01,-1.20e-01,
-3.95300e-01,-1.76e-01,-1.40e-01,
-3.95200e-01,-1.68e-01,-7.99e-02,
-3.95100e-01,-1.72e-01,-2.00e-01,
-3.95000e-01,-1.80e-01,-6.00e-02,
-3.94900e-01,-1.76e-01,-2.60e-01,
-3.94800e-01,-1.80e-01,0.00e+00,
-3.94700e-01,-1.76e-01,-2.80e-01,
-3.94600e-01,-1.84e-01,0.00e+00,
-3.94500e-01,-1.80e-01,-2.20e-01,
-3.94400e-01,-1.88e-01,-6.00e-02,
-3.94300e-01,-1.88e-01,-1.20e-01,
-3.94200e-01,-1.84e-01,-1.20e-01,
-3.94100e-01,-1.92e-01,0.00e+00,
-3.94000e-01,-1.88e-01,-1.60e-01,
-3.93900e-01,-1.88e-01,7.99e-02,
-3.93800e-01,-1.84e-01,-2.20e-01,
-3.93700e-01,-1.92e-01,1.00e-01,
-3.93600e-01,-1.92e-01,-2.00e-01,
-3.93500e-01,-1.84e-01,6.00e-02,
-3.93400e-01,-2.00e-01,-2.00e-01,
-3.93300e-01,-1.76e-01,0.00e+00,
-3.93200e-01,-1.88e-01,-1.20e-01,
-3.93100e-01,-1.84e-01,-1.00e-01,
-3.93000e-01,-1.84e-01,-2.00e-02,
-3.92900e-01,-1.84e-01,-1.40e-01,
-3.92800e-01,-1.84e-01,2.00e-02,
-3.92700e-01,-1.96e-01,-1.60e-01,
-3.92600e-01,-1.84e-01,4.00e-02,
-3.92500e-01,-2.00e-01,-1.60e-01,
-3.92400e-01,-1.84e-01,0.00e+00,
-3.92300e-01,-2.00e-01,-1.40e-01,
-3.92200e-01,-1.92e-01,0.00e+00,
-3.92100e-01,-1.96e-01,-1.20e-01,
-3.92000e-01,-1.92e-01,0.00e+00,
-3.91900e-01,-1.96e-01,-1.20e-01,
-3.91800e-01,-1.96e-01,-6.00e-02,
-3.91700e-01,-1.92e-01,-7.99e-02,
-3.91600e-01,-1.96e-01,-6.00e-02,
-3.91500e-01,-1.92e-01,-7.99e-02,
-3.91400e-01,-1.92e-01,-1.20e-01,
-3.91300e-01,-1.96e-01,-6.00e-02,
-3.91200e-01,-1.88e-01,-1.40e-01,
-3.91100e-01,-2.00e-01,-6.00e-02,
-3.91000e-01,-1.92e-01,-1.60e-01,
-3.90900e-01,-2.04e-01,-6.00e-02,
-3.90800e-01,-1.96e-01,-1.80e-01,
