2014-02-04T13:46:42 - SignalProcessing confirmed new parameters ...
2014-02-04T13:46:42 - SignalSource confirmed new parameters ...
2014-02-04T13:46:42 - Application confirmed new parameters ...
2014-02-04T13:46:44 - Operator started operation
2014-02-04T13:46:44 - Warning: CursorFeedbackTask::Process: process: 23.624 13.818.
2014-02-04T13:46:44 - Warning: CursorFeedbackTask::Process: process: 45.9736 30.9068.
2014-02-04T13:46:44 - Warning: CursorFeedbackTask::Process: process: 45.1428 32.7993.
2014-02-04T13:46:44 - Warning: CursorFeedbackTask::Process: process: 63.747 44.7725.
2014-02-04T13:46:44 - Warning: CursorFeedbackTask::Process: process: 72.5578 44.6999.
2014-02-04T13:46:44 - Warning: CursorFeedbackTask::Process: process: 66.5012 42.3175.
2014-02-04T13:46:44 - Warning: CursorFeedbackTask::Process: process: 67.4568 42.9841.
2014-02-04T13:46:44 - Warning: CursorFeedbackTask::Process: process: 67.7074 44.0445.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 70.3802 46.2743.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 72.3411 48.022.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 70.907 47.6512.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 73.3896 49.3937.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 73.5854 49.2997.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 80.0422 53.6606.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 76.4544 51.5083.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 76.1823 51.7124.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 70.1716 47.2403.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 69.4215 46.6533.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 73.681 49.6752.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 71.6227 48.8722.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 73.6065 51.1798.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 80.3475 54.8858.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 87.0387 59.4703.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 101.841 71.6535.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 103.506 75.3919.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 110.989 80.3089.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 115.354 83.994.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 113.769 84.7502.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 109.843 83.7279.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 114.022 88.5673.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 116.872 91.2011.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 116.852 91.3267.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 119.289 92.5094.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 119.643 89.6796.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 114.236 96.4244.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 122.854 116.569.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 118.152 106.07.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 126.959 124.321.
2014-02-04T13:46:45 - Warning: CursorFeedbackTask::Process: process: 119.501 109.966.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 123.609 114.034.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 116.871 127.885.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 146.052 158.279.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 157.384 167.772.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 165.541 163.029.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 191.345 170.023.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 188.577 167.851.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 192.638 167.785.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 204.423 162.387.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 205.127 161.112.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 216.519 164.193.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 209.71 157.942.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 201.929 167.773.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 202.193 145.121.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 215.079 135.266.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 204.827 135.763.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 183.896 118.307.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 148.255 94.8959.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 139.883 91.9956.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 135.324 92.0129.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 119.094 81.3822.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 120.128 80.6723.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 114.679 78.5789.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 108.547 74.3362.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 131.875 93.0515.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 113.163 78.8565.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 115.757 80.7117.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 113.54 78.3054.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 114.285 79.5456.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 115.784 82.297.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 111.383 79.2988.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 115.53 84.1122.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 107.329 85.2405.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 104.612 82.8642.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 102.997 79.5252.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 105.08 77.531.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 113.179 82.6103.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 116.63 84.7058.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 107.514 85.2708.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 94.577 68.1494.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 91.1765 69.0312.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 92.1187 65.369.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 90.9543 65.0437.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 90.9855 65.0044.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 95.7495 69.8435.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 97.1955 66.7585.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 97.5468 70.9045.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 109.615 83.3864.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 105.241 79.8383.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 106.131 86.1229.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 90.3057 87.6443.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 85.5524 87.0193.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 86.8505 88.3736.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 88.5776 91.494.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 88.9673 100.417.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 88.6262 102.378.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 63.0231 98.0591.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 61.9975 94.2369.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 62.6523 94.023.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 63.9636 89.5953.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 52.3408 77.1168.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 65.7245 87.4146.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 62.8061 79.2756.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 62.6882 73.0285.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 62.6786 71.327.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 74.7211 76.8639.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 80.0015 81.1151.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 78.478 82.0019.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 82.8556 82.0705.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 75.4207 78.6227.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 72.0133 71.659.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 80.0014 79.282.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 89.2206 97.3668.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 92.1793 108.838.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 98.8865 108.635.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 103.189 107.411.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 104.671 108.6.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 101.728 108.999.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 102.342 115.478.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 103.969 115.627.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 94.556 114.37.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 87.115 104.428.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 93.0734 102.749.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 88.1046 95.9957.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 102.552 129.779.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 104.789 131.732.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 114.665 135.248.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 107.706 123.328.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 112.678 121.334.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 108.406 123.62.
