2014-02-04T13:50:11 - BCI2000 Started
2014-02-04T13:50:12 - Waiting for configuration ...
2014-02-04T13:50:12 - Waiting for configuration ...
2014-02-04T13:50:12 - Warning: CyberGloveLogger::Publish:  No cyberglove detected.
2014-02-04T13:50:12 - Waiting for configuration ...
2014-02-04T13:50:28 - Operator set configuration
2014-02-04T13:50:28 - SignalSource confirmed new parameters ...
2014-02-04T13:50:28 - SignalProcessing confirmed new parameters ...
2014-02-04T13:50:28 - Application confirmed new parameters ...
2014-02-04T13:50:29 - Operator started operation
2014-02-04T13:50:29 - Warning: CursorFeedbackTask::Process: process: 259.761 47.6082.
2014-02-04T13:50:29 - Warning: CursorFeedbackTask::Process: process: 383.176 44.7186.
2014-02-04T13:50:30 - Warning: CursorFeedbackTask::Process: process: 511.776 42.7054.
2014-02-04T13:50:30 - Warning: CursorFeedbackTask::Process: process: 291.655 12.3094.
2014-02-04T13:50:30 - Warning: CursorFeedbackTask::Process: process: 211.425 11.5002.
2014-02-04T13:50:30 - Warning: CursorFeedbackTask::Process: process: 1441.79 13.5684.
2014-02-04T13:50:30 - Warning: CursorFeedbackTask::Process: process: 190.097 10.1784.
2014-02-04T13:50:30 - Warning: CursorFeedbackTask::Process: process: 410.707 11.238.
2014-02-04T13:50:30 - Warning: CursorFeedbackTask::Process: process: 284.945 13.1929.
2014-02-04T13:50:30 - Warning: CursorFeedbackTask::Process: process: 429.438 15.2999.
2014-02-04T13:50:31 - Warning: CursorFeedbackTask::Process: process: 265.942 15.3775.
2014-02-04T13:50:31 - Warning: CursorFeedbackTask::Process: process: 175.449 10.9615.
2014-02-04T13:50:31 - Warning: CursorFeedbackTask::Process: process: 202.08 12.3648.
2014-02-04T13:50:31 - Warning: CursorFeedbackTask::Process: process: 322.13 11.3357.
2014-02-04T13:50:31 - Warning: CursorFeedbackTask::Process: process: 206.746 11.669.
2014-02-04T13:50:31 - Warning: CursorFeedbackTask::Process: process: 2481.17 10.6981.
2014-02-04T13:50:31 - Warning: CursorFeedbackTask::Process: process: 238.637 14.1725.
2014-02-04T13:50:31 - Warning: CursorFeedbackTask::Process: process: 1206.67 12.2678.
2014-02-04T13:50:32 - Warning: CursorFeedbackTask::Process: process: 198.997 11.4135.
2014-02-04T13:50:32 - Warning: CursorFeedbackTask::Process: process: 218.288 10.404.
2014-02-04T13:50:32 - Warning: CursorFeedbackTask::Process: process: 185.507 11.3658.
2014-02-04T13:50:32 - Warning: CursorFeedbackTask::Process: process: 211.684 11.2517.
2014-02-04T13:50:32 - Warning: CursorFeedbackTask::Process: process: 200.256 12.6232.
2014-02-04T13:50:32 - Warning: CursorFeedbackTask::Process: process: 266.748 9.59719.
2014-02-04T13:50:32 - Warning: CursorFeedbackTask::Process: process: 192.738 11.7283.
2014-02-04T13:50:32 - Warning: CursorFeedbackTask::Process: process: 1832.58 13.3995.
2014-02-04T13:50:33 - Warning: CursorFeedbackTask::Process: process: 257.636 14.2375.
2014-02-04T13:50:33 - Warning: CursorFeedbackTask::Process: process: 479.013 16.0999.
2014-02-04T13:50:33 - Warning: CursorFeedbackTask::Process: process: 246.493 13.9405.
2014-02-04T13:50:33 - Warning: CursorFeedbackTask::Process: process: 633.33 13.6464.
2014-02-04T13:50:33 - Warning: CursorFeedbackTask::Process: process: 286.214 17.5276.
2014-02-04T13:50:33 - Warning: CursorFeedbackTask::Process: process: 256.277 15.3548.
2014-02-04T13:50:33 - Warning: CursorFeedbackTask::Process: process: 242.983 15.1179.
2014-02-04T13:50:33 - Warning: CursorFeedbackTask::Process: process: 1184.06 13.5337.
