2014-02-04T14:06:02 - SignalSource confirmed new parameters ...
2014-02-04T14:06:02 - SignalProcessing confirmed new parameters ...
2014-02-04T14:06:02 - Application confirmed new parameters ...
2014-02-04T14:06:04 - Operator started operation
2014-02-04T14:06:04 - Warning: CursorFeedbackTask::Process: process: 6.46768 3.47436.
2014-02-04T14:06:04 - Warning: CursorFeedbackTask::Process: process: 8.43231 6.18971.
2014-02-04T14:06:04 - Warning: CursorFeedbackTask::Process: process: 11.6007 6.82634.
2014-02-04T14:06:04 - Warning: CursorFeedbackTask::Process: process: 16.2596 7.85515.
2014-02-04T14:06:04 - Warning: CursorFeedbackTask::Process: process: 15.6847 7.54712.
2014-02-04T14:06:04 - Warning: CursorFeedbackTask::Process: process: 12.3794 11.0308.
2014-02-04T14:06:05 - Warning: CursorFeedbackTask::Process: process: 14.0804 11.4772.
2014-02-04T14:06:05 - Warning: CursorFeedbackTask::Process: process: 12.5908 12.383.
2014-02-04T14:06:05 - Warning: CursorFeedbackTask::Process: process: 15.4774 9.36539.
2014-02-04T14:06:05 - Warning: CursorFeedbackTask::Process: process: 15.8584 8.26103.
2014-02-04T14:06:05 - Warning: CursorFeedbackTask::Process: process: 17.1463 11.98.
2014-02-04T14:06:05 - Warning: CursorFeedbackTask::Process: process: 16.6467 10.6829.
2014-02-04T14:06:05 - Warning: CursorFeedbackTask::Process: process: 16.4878 10.4509.
2014-02-04T14:06:05 - Warning: CursorFeedbackTask::Process: process: 17.4768 12.2945.
2014-02-04T14:06:06 - Warning: CursorFeedbackTask::Process: process: 18.3319 6.93117.
2014-02-04T14:06:06 - Warning: CursorFeedbackTask::Process: process: 14.8976 8.0716.
2014-02-04T14:06:06 - Warning: CursorFeedbackTask::Process: process: 17.5716 8.69797.
2014-02-04T14:06:06 - Warning: CursorFeedbackTask::Process: process: 12.1217 10.0808.
2014-02-04T14:06:06 - Warning: CursorFeedbackTask::Process: process: 15.6908 12.0828.
2014-02-04T14:06:06 - Warning: CursorFeedbackTask::Process: process: 15.5249 12.9808.
2014-02-04T14:06:06 - Warning: CursorFeedbackTask::Process: process: 16.1398 12.3525.
2014-02-04T14:06:06 - Warning: CursorFeedbackTask::Process: process: 14.9424 11.6764.
2014-02-04T14:06:07 - Warning: CursorFeedbackTask::Process: process: 10.7519 9.19988.
2014-02-04T14:06:07 - Warning: CursorFeedbackTask::Process: process: 11.2986 10.3207.
2014-02-04T14:06:07 - Warning: CursorFeedbackTask::Process: process: 12.9727 6.85585.
2014-02-04T14:06:07 - Warning: CursorFeedbackTask::Process: process: 12.5391 7.54399.
2014-02-04T14:06:07 - Warning: CursorFeedbackTask::Process: process: 16.4659 6.67179.
2014-02-04T14:06:07 - Warning: CursorFeedbackTask::Process: process: 11.4057 7.85429.
2014-02-04T14:06:07 - Warning: CursorFeedbackTask::Process: process: 9.16822 7.72353.
2014-02-04T14:06:07 - Warning: CursorFeedbackTask::Process: process: 9.6441 7.09029.
2014-02-04T14:06:08 - Warning: CursorFeedbackTask::Process: process: 10.5542 10.3284.
2014-02-04T14:06:08 - Warning: CursorFeedbackTask::Process: process: 12.5525 11.4137.
2014-02-04T14:06:08 - Warning: CursorFeedbackTask::Process: process: 16.9577 10.3105.
2014-02-04T14:06:08 - Warning: CursorFeedbackTask::Process: process: 18.5525 11.8862.
2014-02-04T14:06:08 - Warning: CursorFeedbackTask::Process: process: 21.1445 9.17617.
2014-02-04T14:06:08 - Warning: CursorFeedbackTask::Process: process: 18.7734 11.3368.
2014-02-04T14:06:08 - Warning: CursorFeedbackTask::Process: process: 20.0479 10.728.
2014-02-04T14:06:08 - Warning: CursorFeedbackTask::Process: process: 17.476 10.9026.
2014-02-04T14:06:09 - Warning: CursorFeedbackTask::Process: process: 15.6346 9.33175.
2014-02-04T14:06:09 - Warning: CursorFeedbackTask::Process: process: 16.813 8.12912.
2014-02-04T14:06:09 - Warning: CursorFeedbackTask::Process: process: 13.8074 8.77133.
2014-02-04T14:06:09 - Warning: CursorFeedbackTask::Process: process: 20.0754 7.46008.
2014-02-04T14:06:09 - Warning: CursorFeedbackTask::Process: process: 21.097 7.80366.
2014-02-04T14:06:09 - Warning: CursorFeedbackTask::Process: process: 17.9318 10.7294.
2014-02-04T14:06:09 - Warning: CursorFeedbackTask::Process: process: 20.5334 9.43783.
2014-02-04T14:06:09 - Warning: CursorFeedbackTask::Process: process: 14.9687 10.8064.
2014-02-04T14:06:10 - Warning: CursorFeedbackTask::Process: process: 13.6637 10.2462.
2014-02-04T14:06:10 - Warning: CursorFeedbackTask::Process: process: 10.7003 7.26754.
2014-02-04T14:06:10 - Warning: CursorFeedbackTask::Process: process: 8.57452 7.31136.
2014-02-04T14:06:10 - Warning: CursorFeedbackTask::Process: process: 9.51289 6.20806.
2014-02-04T14:06:10 - Warning: CursorFeedbackTask::Process: process: 8.67296 5.45147.
2014-02-04T14:06:10 - Warning: CursorFeedbackTask::Process: process: 6.78592 10.6768.
2014-02-04T14:06:10 - Warning: CursorFeedbackTask::Process: process: 9.76874 10.9657.
2014-02-04T14:06:10 - Warning: CursorFeedbackTask::Process: process: 10.7023 11.9211.
2014-02-04T14:06:11 - Warning: CursorFeedbackTask::Process: process: 11.8458 13.3869.
2014-02-04T14:06:11 - Warning: CursorFeedbackTask::Process: process: 17.0578 10.7246.
2014-02-04T14:06:11 - Warning: CursorFeedbackTask::Process: process: 25.3164 10.1098.
2014-02-04T14:06:11 - Warning: CursorFeedbackTask::Process: process: 26.9123 9.28835.
2014-02-04T14:06:11 - Warning: CursorFeedbackTask::Process: process: 28.1747 7.96894.
2014-02-04T14:06:11 - Warning: CursorFeedbackTask::Process: process: 23.8528 7.68836.
2014-02-04T14:06:11 - Warning: CursorFeedbackTask::Process: process: 18.8985 6.05479.
2014-02-04T14:06:11 - Warning: CursorFeedbackTask::Process: process: 16.5023 9.08493.
