id,HandStart,FirstDigitTouch,BothStartLoadPhase,LiftOff,Replace,BothReleased
subj1_series4_0,0,0,0,0,0,0
subj1_series4_1,0,0,0,0,0,0
subj1_series4_2,0,0,0,0,0,0
subj1_series4_3,0,0,0,0,0,0
subj1_series4_4,0,0,0,0,0,0
subj1_series4_5,0,0,0,0,0,0
subj1_series4_6,0,0,0,0,0,0
subj1_series4_7,0,0,0,0,0,0
subj1_series4_8,0,0,0,0,0,0
subj1_series4_9,0,0,0,0,0,0
subj1_series4_10,0,0,0,0,0,0
subj1_series4_11,0,0,0,0,0,0
subj1_series4_12,0,0,0,0,0,0
subj1_series4_13,0,0,0,0,0,0
subj1_series4_14,0,0,0,0,0,0
subj1_series4_15,0,0,0,0,0,0
subj1_series4_16,0,0,0,0,0,0
subj1_series4_17,0,0,0,0,0,0
subj1_series4_18,0,0,0,0,0,0
subj1_series4_19,0,0,0,0,0,0
subj1_series4_20,0,0,0,0,0,0
subj1_series4_21,0,0,0,0,0,0
subj1_series4_22,0,0,0,0,0,0
subj1_series4_23,0,0,0,0,0,0
subj1_series4_24,0,0,0,0,0,0
subj1_series4_25,0,0,0,0,0,0
subj1_series4_26,0,0,0,0,0,0
subj1_series4_27,0,0,0,0,0,0
subj1_series4_28,0,0,0,0,0,0
subj1_series4_29,0,0,0,0,0,0
subj1_series4_30,0,0,0,0,0,0
subj1_series4_31,0,0,0,0,0,0
subj1_series4_32,0,0,0,0,0,0
subj1_series4_33,0,0,0,0,0,0
subj1_series4_34,0,0,0,0,0,0
subj1_series4_35,0,0,0,0,0,0
subj1_series4_36,0,0,0,0,0,0
subj1_series4_37,0,0,0,0,0,0
subj1_series4_38,0,0,0,0,0,0
subj1_series4_39,0,0,0,0,0,0
subj1_series4_40,0,0,0,0,0,0
subj1_series4_41,0,0,0,0,0,0
subj1_series4_42,0,0,0,0,0,0
subj1_series4_43,0,0,0,0,0,0
subj1_series4_44,0,0,0,0,0,0
subj1_series4_45,0,0,0,0,0,0
subj1_series4_46,0,0,0,0,0,0
subj1_series4_47,0,0,0,0,0,0
subj1_series4_48,0,0,0,0,0,0
subj1_series4_49,0,0,0,0,0,0
subj1_series4_50,0,0,0,0,0,0
subj1_series4_51,0,0,0,0,0,0
subj1_series4_52,0,0,0,0,0,0
subj1_series4_53,0,0,0,0,0,0
subj1_series4_54,0,0,0,0,0,0
subj1_series4_55,0,0,0,0,0,0
subj1_series4_56,0,0,0,0,0,0
subj1_series4_57,0,0,0,0,0,0
subj1_series4_58,0,0,0,0,0,0
subj1_series4_59,0,0,0,0,0,0
subj1_series4_60,0,0,0,0,0,0
subj1_series4_61,0,0,0,0,0,0
subj1_series4_62,0,0,0,0,0,0
subj1_series4_63,0,0,0,0,0,0
subj1_series4_64,0,0,0,0,0,0
subj1_series4_65,0,0,0,0,0,0
subj1_series4_66,0,0,0,0,0,0
subj1_series4_67,0,0,0,0,0,0
subj1_series4_68,0,0,0,0,0,0
subj1_series4_69,0,0,0,0,0,0
subj1_series4_70,0,0,0,0,0,0
subj1_series4_71,0,0,0,0,0,0
subj1_series4_72,0,0,0,0,0,0
subj1_series4_73,0,0,0,0,0,0
subj1_series4_74,0,0,0,0,0,0
subj1_series4_75,0,0,0,0,0,0
subj1_series4_76,0,0,0,0,0,0
subj1_series4_77,0,0,0,0,0,0
subj1_series4_78,0,0,0,0,0,0
subj1_series4_79,0,0,0,0,0,0
subj1_series4_80,0,0,0,0,0,0
subj1_series4_81,0,0,0,0,0,0
subj1_series4_82,0,0,0,0,0,0
subj1_series4_83,0,0,0,0,0,0
subj1_series4_84,0,0,0,0,0,0
subj1_series4_85,0,0,0,0,0,0
subj1_series4_86,0,0,0,0,0,0
subj1_series4_87,0,0,0,0,0,0
subj1_series4_88,0,0,0,0,0,0
subj1_series4_89,0,0,0,0,0,0
subj1_series4_90,0,0,0,0,0,0
subj1_series4_91,0,0,0,0,0,0
subj1_series4_92,0,0,0,0,0,0
subj1_series4_93,0,0,0,0,0,0
subj1_series4_94,0,0,0,0,0,0
subj1_series4_95,0,0,0,0,0,0
subj1_series4_96,0,0,0,0,0,0
subj1_series4_97,0,0,0,0,0,0
subj1_series4_98,0,0,0,0,0,0
subj1_series4_99,0,0,0,0,0,0
subj1_series4_100,0,0,0,0,0,0
subj1_series4_101,0,0,0,0,0,0
subj1_series4_102,0,0,0,0,0,0
subj1_series4_103,0,0,0,0,0,0
subj1_series4_104,0,0,0,0,0,0
subj1_series4_105,0,0,0,0,0,0
subj1_series4_106,0,0,0,0,0,0
subj1_series4_107,0,0,0,0,0,0
subj1_series4_108,0,0,0,0,0,0
subj1_series4_109,0,0,0,0,0,0
subj1_series4_110,0,0,0,0,0,0
subj1_series4_111,0,0,0,0,0,0
subj1_series4_112,0,0,0,0,0,0
subj1_series4_113,0,0,0,0,0,0
subj1_series4_114,0,0,0,0,0,0
subj1_series4_115,0,0,0,0,0,0
subj1_series4_116,0,0,0,0,0,0
subj1_series4_117,0,0,0,0,0,0
subj1_series4_118,0,0,0,0,0,0
subj1_series4_119,0,0,0,0,0,0
subj1_series4_120,0,0,0,0,0,0
subj1_series4_121,0,0,0,0,0,0
subj1_series4_122,0,0,0,0,0,0
subj1_series4_123,0,0,0,0,0,0
subj1_series4_124,0,0,0,0,0,0
subj1_series4_125,0,0,0,0,0,0
subj1_series4_126,0,0,0,0,0,0
subj1_series4_127,0,0,0,0,0,0
subj1_series4_128,0,0,0,0,0,0
subj1_series4_129,0,0,0,0,0,0
subj1_series4_130,0,0,0,0,0,0
subj1_series4_131,0,0,0,0,0,0
subj1_series4_132,0,0,0,0,0,0
subj1_series4_133,0,0,0,0,0,0
subj1_series4_134,0,0,0,0,0,0
subj1_series4_135,0,0,0,0,0,0
subj1_series4_136,0,0,0,0,0,0
subj1_series4_137,0,0,0,0,0,0
subj1_series4_138,0,0,0,0,0,0
subj1_series4_139,0,0,0,0,0,0
subj1_series4_140,0,0,0,0,0,0
subj1_series4_141,0,0,0,0,0,0
subj1_series4_142,0,0,0,0,0,0
subj1_series4_143,0,0,0,0,0,0
subj1_series4_144,0,0,0,0,0,0
subj1_series4_145,0,0,0,0,0,0
subj1_series4_146,0,0,0,0,0,0
subj1_series4_147,0,0,0,0,0,0
subj1_series4_148,0,0,0,0,0,0
subj1_series4_149,0,0,0,0,0,0
subj1_series4_150,0,0,0,0,0,0
subj1_series4_151,0,0,0,0,0,0
subj1_series4_152,0,0,0,0,0,0
subj1_series4_153,0,0,0,0,0,0
subj1_series4_154,0,0,0,0,0,0
subj1_series4_155,0,0,0,0,0,0
subj1_series4_156,0,0,0,0,0,0
subj1_series4_157,0,0,0,0,0,0
subj1_series4_158,0,0,0,0,0,0
subj1_series4_159,0,0,0,0,0,0
subj1_series4_160,0,0,0,0,0,0
subj1_series4_161,0,0,0,0,0,0
subj1_series4_162,0,0,0,0,0,0
subj1_series4_163,0,0,0,0,0,0
subj1_series4_164,0,0,0,0,0,0
subj1_series4_165,0,0,0,0,0,0
subj1_series4_166,0,0,0,0,0,0
subj1_series4_167,0,0,0,0,0,0
subj1_series4_168,0,0,0,0,0,0
subj1_series4_169,0,0,0,0,0,0
subj1_series4_170,0,0,0,0,0,0
subj1_series4_171,0,0,0,0,0,0
subj1_series4_172,0,0,0,0,0,0
